Spring Boot Version: 2.7.18
///////////////////////////////////////////////////////
//   _     _ _        _       _           _          //
//  | |   (_) | __   / \   __| |_ __ ___ (_)_ __     //
//  | |   | | |/ /  / _ \ / _` | '_ ` _ \| | '_ \    //
//  | |___| |   <  / ___ \ (_| | | | | | | | | | |   //
//  |_____|_|_|\_\/_/   \_\__,_|_| |_| |_|_|_| |_|   //
//   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    //
//       佛祖保佑       永不宕机      永无BUG         //
//////////////////////////////////////////////////////
19:21:02.115 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
19:21:02.148 [main] INFO  com.mdd.front.LikeFrontApplication - Starting LikeFrontApplication using Java 21.0.6 on angle with PID 29344 (C:\Users\15367\Desktop\likeadmin_java-master\server\like-front\target\like-front-1.0.0.jar started by 15367 in C:\Users\15367\Desktop\likeadmin_java-master\server\like-front)
19:21:02.152 [main] INFO  com.mdd.front.LikeFrontApplication - The following 2 profiles are active: "dev", "local"
19:21:03.592 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
19:21:03.601 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
19:21:03.602 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
19:21:03.602 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
19:21:03.678 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
19:21:03.681 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1491 ms
19:21:04.552 [main] INFO  com.zaxxer.hikari.HikariDataSource - DateSourceHikariCP - Starting...
19:21:04.728 [main] INFO  com.zaxxer.hikari.HikariDataSource - DateSourceHikariCP - Start completed.
19:21:06.621 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
19:21:06.646 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
19:21:07.059 [main] INFO  com.mdd.front.LikeFrontApplication - Started LikeFrontApplication in 5.284 seconds (JVM running for 5.886)
19:21:32.554 [http-nio-8084-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
19:21:32.555 [http-nio-8084-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
19:21:32.558 [http-nio-8084-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
19:21:32.572 [http-nio-8084-exec-1] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /
19:22:18.026 [http-nio-8084-exec-2] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /
19:22:18.092 [http-nio-8084-exec-3] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /favicon.ico
19:24:20.337 [http-nio-8084-exec-6] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /
